Date,Price,Month,Year,Real_GDP,CPI,inflation_rate,PALLFNFINDEXM,DEXCHUS
2019-07-23,2.7,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1453763065695552
2019-07-24,2.712,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1455243971651847
2019-07-25,2.7035,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1455307506476118
2019-07-26,2.685,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1453805335465581
2019-07-29,2.7175,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1450810277540006
2019-07-30,2.683,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1452791538942077
2019-07-31,2.6715,7.0,2019.0,20692.087,256.571,1.81221007526015,117.375106218246,0.1452791538942077
2019-08-01,2.6705,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1449863712810996
2019-08-02,2.5775,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1441192154149913
2019-08-05,2.549,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1418822093897646
2019-08-06,2.5615,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1424663779348074
2019-08-07,2.575,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1416591115140525
2019-08-08,2.6105,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1419647927314026
2019-08-09,2.5925,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1416169827085664
2019-08-12,2.588,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1416872113123069
2019-08-13,2.6335,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1419990628061855
2019-08-14,2.5955,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1424014581909318
2019-08-15,2.5985,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1421928988866296
2019-08-16,2.5985,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1420192294036612
2019-08-19,2.605,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1418459836309734
2019-08-20,2.5815,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1416490785727439
2019-08-21,2.589,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1415969301785537
2019-08-22,2.5615,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1411851077948298
2019-08-23,2.5345,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1409880442138506
2019-08-26,2.5465,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1398542718487336
2019-08-27,2.55,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1396589528371716
2019-08-28,2.559,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1396102082984308
2019-08-29,2.5735,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1399893608085785
2019-08-30,2.547,8.0,2019.0,20692.087,256.558,1.81221007526015,112.040003428534,0.1397760787218875
2019-09-02,2.532,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1395391023449546
2019-09-03,2.5235,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1393029281475496
2019-09-04,2.59,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1399776035834266
2019-09-05,2.6365,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1399227626350254
2019-09-06,2.6285,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.140585679942641
2019-09-09,2.6215,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1404297149276787
2019-09-10,2.6225,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1406054470550189
2019-09-11,2.609,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1405422118533301
2019-09-12,2.635,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1412688770536962
2019-09-13,2.6935,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.141334765525624
2019-09-16,2.634,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1415247880666298
2019-09-17,2.6215,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1410337775897327
2019-09-18,2.6075,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1411452525794294
2019-09-19,2.603,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1409264504854916
2019-09-20,2.6015,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1410258218279766
2019-09-23,2.6065,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1405125899280575
2019-09-24,2.6015,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1405718462706289
2019-09-25,2.606,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1402268871033332
2019-09-26,2.571,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1402524544179523
2019-09-27,2.5975,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1404139402959925
2019-09-30,2.5785,9.0,2019.0,20692.087,256.759,1.81221007526015,114.073675334073,0.1399051443121563
2019-10-01,2.5605,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.139912974130091
2019-10-02,2.5705,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.139912974130091
2019-10-03,2.5535,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.139912974130091
2019-10-04,2.5625,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.139912974130091
2019-10-07,2.577,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.139912974130091
2019-10-08,2.5685,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.140012881185069
2019-10-09,2.568,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1402209882775253
2019-10-10,2.6135,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1405422118533301
2019-10-11,2.628,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1411074109612236
2019-10-14,2.634,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1411611919651049
2019-10-15,2.614,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1412150139802863
2019-10-16,2.5895,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1410039481105471
2019-10-17,2.5975,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1413107989712574
2019-10-18,2.636,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1412329637737448
2019-10-21,2.6465,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1413467518516424
2019-10-22,2.633,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1413207840477099
2019-10-23,2.6715,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1415949252378794
2019-10-24,2.668,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1414747326127553
2019-10-25,2.6755,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.141548827267966
2019-10-28,2.683,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1415027593038064
2019-10-29,2.6915,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1415328002264524
2019-10-30,2.6905,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1417615287563261
2019-10-31,2.6425,10.0,2019.0,20692.087,257.346,1.81221007526015,112.652198070281,0.1420878387018855
2019-11-01,2.6575,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1421100500227376
2019-11-04,2.6755,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1422475106685632
2019-11-05,2.705,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1426899917239804
2019-11-06,2.6695,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1429224788474731
2019-11-07,2.732,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.143336295616776
2019-11-08,2.686,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1429510821396918
2019-11-11,2.668,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.142836737608913
2019-11-12,2.65,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.142722575857049
2019-11-13,2.6435,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1424034860373381
2019-11-14,2.6265,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.142460289194387
2019-11-15,2.6425,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1427042454513021
2019-11-18,2.6245,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1423568601770919
2019-11-19,2.659,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1423224172039338
2019-11-20,2.652,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1421585351984533
2019-11-21,2.6275,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1422778686775272
2019-11-22,2.6515,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1420676526161758
2019-11-25,2.6535,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1421484313920595
2019-11-26,2.686,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1422090757832164
2019-11-27,2.6905,11.0,2019.0,20692.087,257.208,1.81221007526015,116.427399713612,0.1422879908935685
