,Date,Price,Open,High,Low,Vol.,Change %,Month,Year,Real_GDP,CPI,inflation_rate,PALLFNFINDEXM
136,2023-03-15,3.843,4.005,4.0275,3.84,131.41,4.0,3.0,2023.0,19374.0,301.836,6.6,301.836
137,2023-03-14,4.003,4.042,4.0525,3.982,71.16,1.25,3.0,2023.0,19374.0,301.836,6.6,301.836
138,2023-03-13,4.0535,4.0075,4.0775,3.9215,133.48,0.57,3.0,2023.0,19374.0,301.836,6.6,301.836
139,2023-03-10,4.0305,4.007,4.0635,3.967,84.98,0.21,3.0,2023.0,19374.0,301.836,6.6,301.836
140,2023-03-09,4.039,4.027,4.055,3.9955,54.53,0.3,3.0,2023.0,19374.0,301.836,6.6,301.836
141,2023-03-08,4.027,3.9675,4.0725,3.961,79.04,1.31,3.0,2023.0,19374.0,301.836,6.6,301.836
142,2023-03-07,3.975,4.075,4.095,3.963,77.4,2.78,3.0,2023.0,19374.0,301.836,6.6,301.836
143,2023-03-06,4.0885,4.065,4.093,4.0085,63.75,0.53,3.0,2023.0,19374.0,301.836,6.6,301.836
144,2023-03-01,4.16,4.0745,4.1745,4.065,87.33,1.72,3.0,2023.0,19374.0,301.836,6.6,301.836
145,2023-02-28,4.0895,4.01,4.0945,3.9915,71.44,1.96,2.0,2023.0,19374.0,300.84,6.6,300.84
146,2023-02-27,4.011,3.96,4.024,3.937,83.88,1.49,2.0,2023.0,19374.0,300.84,6.6,300.84
147,2023-02-23,4.059,4.179,4.1885,4.039,73.18,3.14,2.0,2023.0,19374.0,300.84,6.6,300.84
148,2023-02-22,4.1905,4.214,4.224,4.1485,70.16,0.83,2.0,2023.0,19374.0,300.84,6.6,300.84
149,2023-02-21,4.2255,4.126,4.237,4.1015,126.19,1.07,2.0,2023.0,19374.0,300.84,6.6,300.84
150,2023-02-17,4.1085,4.1195,4.1335,4.059,68.6,0.65,2.0,2023.0,19374.0,300.84,6.6,300.84
151,2023-02-16,4.1355,4.0245,4.1465,4.0185,108.49,3.12,2.0,2023.0,19374.0,300.84,6.6,300.84
152,2023-02-15,4.0105,4.0875,4.091,3.9785,103.17,1.58,2.0,2023.0,19374.0,300.84,6.6,300.84
153,2023-02-14,4.075,4.059,4.111,4.0255,93.92,0.43,2.0,2023.0,19374.0,300.84,6.6,300.84
154,2023-02-13,4.0575,4.0185,4.0685,3.9935,74.43,1.02,2.0,2023.0,19374.0,300.84,6.6,300.84
155,2023-02-10,4.0165,4.0745,4.0825,4.005,86.48,1.96,2.0,2023.0,19374.0,300.84,6.6,300.84
156,2023-02-09,4.097,4.0475,4.1205,4.0395,96.58,1.52,2.0,2023.0,19374.0,300.84,6.6,300.84
157,2023-02-08,4.0355,4.07,4.1165,4.016,85.5,1.1,2.0,2023.0,19374.0,300.84,6.6,300.84
158,2023-02-07,4.0805,4.038,4.0865,4.0025,90.92,1.13,2.0,2023.0,19374.0,300.84,6.6,300.84
159,2023-02-06,4.035,4.0415,4.074,3.993,75.84,0.53,2.0,2023.0,19374.0,300.84,6.6,300.84
160,2023-02-03,4.0565,4.091,4.136,4.0305,91.47,0.84,2.0,2023.0,19374.0,300.84,6.6,300.84
161,2023-02-02,4.091,4.1815,4.1995,4.078,82.56,0.49,2.0,2023.0,19374.0,300.84,6.6,300.84
162,2023-02-01,4.111,4.2235,4.225,4.1025,88.15,2.72,2.0,2023.0,19374.0,300.84,6.6,300.84
163,2023-01-31,4.226,4.1845,4.2315,4.1185,86.17,0.57,1.0,2023.0,19374.0,300.84,6.6,300.84
164,2023-01-30,4.202,4.23,4.249,4.168,63.12,0.49,1.0,2023.0,19374.0,300.84,6.6,300.84
165,2023-01-27,4.2225,4.282,4.287,4.172,63.41,1.05,1.0,2023.0,19374.0,300.84,6.6,300.84
166,2023-01-26,4.2675,4.2645,4.29,4.2325,58.23,0.54,1.0,2023.0,19374.0,300.84,6.6,300.84
167,2023-01-25,4.2445,4.2645,4.2735,4.211,51.11,0.09,1.0,2023.0,19374.0,300.84,6.6,300.84
168,2023-01-24,4.2485,4.259,4.2825,4.2155,51.17,0.19,1.0,2023.0,19374.0,300.84,6.6,300.84
169,2023-01-23,4.2565,4.2795,4.3025,4.226,57.18,0.12,1.0,2023.0,19374.0,300.84,6.6,300.84
170,2023-01-20,4.2515,4.245,4.2795,4.2065,59.75,0.47,1.0,2023.0,19374.0,300.84,6.6,300.84
171,2023-01-19,4.2315,4.2265,4.2685,4.168,78.54,0.07,1.0,2023.0,19374.0,300.84,6.6,300.84
172,2023-01-18,4.2345,4.2335,4.355,4.205,104.62,0.27,1.0,2023.0,19374.0,300.84,6.6,300.84
173,2023-01-17,4.223,4.2105,4.2445,4.1105,113.11,1.92,1.0,2023.0,19374.0,300.84,6.6,300.84
174,2023-01-13,4.216,4.173,4.2225,4.1285,69.52,0.46,1.0,2023.0,19374.0,300.84,6.6,300.84
175,2023-01-12,4.1965,4.1755,4.2115,4.1295,96.27,0.73,1.0,2023.0,19374.0,300.84,6.6,300.84
176,2023-01-11,4.166,4.08,4.185,4.0655,88.48,2.17,1.0,2023.0,19374.0,300.84,6.6,300.84
177,2023-01-10,4.0775,4.012,4.0835,3.9875,72.22,1.27,1.0,2023.0,19374.0,300.84,6.6,300.84
178,2023-01-09,4.0265,3.9235,4.0445,3.9235,102.47,2.95,1.0,2023.0,19374.0,300.84,6.6,300.84
179,2023-01-06,3.911,3.8255,3.93,3.7985,96.75,2.36,1.0,2023.0,19374.0,300.84,6.6,300.84
180,2023-01-05,3.821,3.7405,3.842,3.7215,76.73,2.15,1.0,2023.0,19374.0,300.84,6.6,300.84
181,2023-01-04,3.7405,3.771,3.807,3.7085,80.27,0.69,1.0,2023.0,19374.0,300.84,6.6,300.84
182,2023-01-03,3.7665,3.8355,3.8715,3.7585,83.9,1.92,1.0,2023.0,19374.0,300.84,6.6,300.84
183,2022-12-30,3.813,3.8135,3.815,3.8135,0.01,0.35,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
184,2022-12-29,3.8265,3.836,3.836,3.825,0.04,0.42,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
185,2022-12-28,3.8425,3.849,3.873,3.821,42.61,0.05,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
186,2022-12-27,3.8405,3.84,3.9415,3.832,48.12,0.44,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
187,2022-12-23,3.809,3.7645,3.817,3.761,38.56,1.38,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
188,2022-12-22,3.757,3.818,3.849,3.7495,44.39,1.39,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
189,2022-12-21,3.81,3.807,3.8285,3.789,39.35,0.29,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
190,2022-12-20,3.799,3.761,3.8305,3.723,55.3,0.42,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
191,2022-12-19,3.783,3.7695,3.8245,3.7495,38.27,0.57,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
192,2022-12-16,3.7615,3.776,3.805,3.733,46.14,0.04,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
193,2022-12-15,3.763,3.8635,3.8675,3.757,60.79,2.97,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
194,2022-12-14,3.878,3.8455,3.892,3.823,50.21,0.94,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
195,2022-12-13,3.842,3.808,3.929,3.8035,69.13,1.09,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
196,2022-12-12,3.8005,3.8595,3.8595,3.786,45.29,2.01,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
197,2022-12-09,3.8785,3.8815,3.9245,3.846,51.88,0.13,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
198,2022-12-08,3.8835,3.8435,3.9125,3.833,50.54,0.6,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
199,2022-12-07,3.8605,3.821,3.874,3.775,52.67,1.11,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
200,2022-12-06,3.818,3.7915,3.8635,3.7845,53.1,0.61,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
201,2022-12-05,3.795,3.853,3.8945,3.773,58.79,1.44,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
202,2022-12-02,3.8505,3.7975,3.865,3.7445,59.97,0.86,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
203,2022-12-01,3.8175,3.782,3.8225,3.735,59.94,2.13,12.0,2022.0,21822.037,296.797,8.00279982052117,296.797
204,2022-11-30,3.738,3.644,3.7925,3.634,81.15,2.71,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
205,2022-11-29,3.6395,3.6015,3.6845,3.5955,55.24,0.64,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
206,2022-11-28,3.6165,3.591,3.6195,3.5575,0.46,0.45,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
207,2022-11-25,3.633,3.6545,3.658,3.622,0.18,0.18,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
208,2022-11-23,3.62,3.6225,3.6315,3.604,0.21,0.1,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
209,2022-11-22,3.6165,3.595,3.665,3.59,0.25,1.13,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
210,2022-11-21,3.576,3.65,3.655,3.556,32.41,1.8,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
211,2022-11-18,3.6415,3.692,3.715,3.637,28.32,1.42,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
212,2022-11-17,3.694,3.757,3.7765,3.673,24.88,2.11,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
213,2022-11-16,3.7735,3.811,3.821,3.7495,27.93,1.2,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
214,2022-11-15,3.8195,3.8325,3.882,3.7945,39.81,0.21,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
215,2022-11-14,3.8275,3.9225,3.947,3.8055,38.11,1.88,11.0,2022.0,21822.037,297.711,8.00279982052117,297.711
